ride_count,temperature,windSpeed,visibility,distance,humidity
1872,39.33,4.26,9.961,1.75,0.79
5304,39.35,9.63,10,1.75,0.72
5616,39.41,8.11,9.996,2.36,0.67
1872,39.67,6.57,10,2.36,0.64
1872,39.75,6.38,9.775,2.36,0.64
1872,39.79,3.57,9.933,2.36,0.93
1872,40.01,3.79,9.938,2.36,0.79
1872,40.08,10.45,2.585,2.36,0.93
1872,40.1,6.44,10,2.32,0.65
1872,40.13,3.38,9.833,2.32,0.77
1872,40.13,3.46,9.92,2.32,0.51
1872,40.13,5.91,10,2.32,0.84
1872,40.19,7.48,10,2.32,0.9
1872,40.2,3.03,9.454,2.32,0.93
1872,40.29,8.43,9.936,1.02,0.91
1872,40.29,8.44,9.997,1.02,0.91
1872,40.3,5.04,10,1.02,0.56
1872,40.33,3.27,9.839,1.02,0.71
1872,40.36,7.08,10,1.17,0.64
3113,40.38,7.73,10,1.17,0.92
1872,40.39,9.15,3.202,1.17,0.63
1872,40.39,9.23,9.929,1.17,0.7
1872,40.4,6.99,9.808,1.17,0.83
4992,40.43,9.08,10,1.17,0.94
1872,40.45,8.96,2.994,4.43,0.63
1872,40.47,6.64,9.77,4.43,0.91
3120,40.49,10.42,5.011,4.43,0.6
1872,40.55,6.66,4.741,4.43,0.94
1872,40.61,8.68,2.629,4.43,0.91
1560,40.67,7.59,9.878,4.43,0.71
1872,40.68,5.22,10,4.43,0.5
1872,40.7,4.72,10,1.4,0.88
4992,40.77,8.76,10,1.4,0.94
1872,40.78,7.06,9.973,1.4,0.92
1872,40.86,2.9,9.888,1.4,0.68
1872,40.87,4.68,9.827,1.4,0.83
3120,40.88,8.21,10,1.4,0.72
1872,40.9,3.31,9.876,1.01,0.71
4992,40.92,9.21,10,1.01,0.51
1872,40.93,8.29,2.825,1.01,0.54
3120,41,11.16,9.285,1.01,0.91
1872,41.09,3.48,10,1.01,0.69
1872,41.09,6.75,10,1.01,0.54
4992,41.16,8.33,10,2.84,0.81
1872,41.19,7.16,4.661,2.84,0.59
1680,41.22,2.74,1.824,2.84,0.82
4991,41.24,8.39,10,2.84,0.63
1872,41.29,8.3,4.054,2.84,0.73
1680,41.3,2.55,3.475,2.84,0.71
3120,41.34,11.92,9.83,2.84,0.51
3744,41.35,9.29,10,1.3,0.7
1872,41.39,8.41,9.994,1.81,0.65
1680,41.4,1.81,0.965,1.3,0.65
1680,41.43,3.4,3.058,1.81,0.63
1872,41.43,3.73,9.716,1.81,0.72
1872,41.46,3.57,9.928,1.3,0.51
1872,41.47,7.3,9.807,1.81,0.81
3432,41.47,9.54,10,1.3,0.6
420,41.52,0.45,4.159,1.81,0.71
1872,41.53,3.41,9.975,1.3,0.8
252,41.59,1.85,5.138,1.81,0.63
1671,41.6,2.28,2.266,1.81,0.6
